,sepal_length,sepal_width,petal_length,petal_width,sepal_length_scaled,sepal_width_scaled,petal_length_scaled,petal_width_scaled,PCA3_0,PCA3_1,PCA3_2,species
9,4.9,3.1,1.5,0.1,0.16666666666666674,0.45833333333333326,0.06896551724137928,0.0,-0.6676413553791682,-0.07291425066634051,-0.05461816178383573,setosa
114,5.8,2.8,5.1,2.4,0.4166666666666665,0.33333333333333326,0.6896551724137929,0.9583333333333334,0.46371085664714784,-0.11543792424426037,0.250667562592269,virginica
145,6.7,3.0,5.2,2.3,0.6666666666666667,0.41666666666666674,0.7068965517241379,0.9166666666666666,0.5359162846194866,0.0680242816418404,0.07373937045349843,virginica
135,7.7,3.0,6.1,2.3,0.9444444444444442,0.41666666666666674,0.8620689655172411,0.9166666666666666,0.745161948455438,0.17966833686829922,-0.13722070805019407,virginica
140,6.7,3.1,5.6,2.4,0.6666666666666667,0.45833333333333326,0.7758620689655171,0.9583333333333334,0.5996191435896571,0.1006229198186135,0.10804372469228411,virginica
1,4.9,3.0,1.4,0.2,0.16666666666666674,0.41666666666666674,0.05172413793103445,0.04166666666666667,-0.644845779163871,-0.10890747866296785,-0.04282972932318122,setosa
147,6.5,3.0,5.2,2.0,0.6111111111111112,0.41666666666666674,0.7068965517241379,0.7916666666666667,0.4319397375878297,0.04324316767317469,0.03878862067652086,virginica
105,7.6,3.0,6.6,2.1,0.9166666666666665,0.41666666666666674,0.9482758620689653,0.8333333333333335,0.7332659505010168,0.16124085924279621,-0.173524139330082,virginica
97,6.2,2.9,4.3,1.3,0.5277777777777779,0.375,0.5517241379310345,0.5000000000000001,0.11788146090126819,-0.02068810130659896,-0.07901781969222746,versicolor
57,4.9,2.4,3.3,1.0,0.16666666666666674,0.16666666666666663,0.37931034482758613,0.375,-0.1854397204481801,-0.3546062187434468,0.046044623659513687,versicolor
64,5.6,2.9,3.6,1.3,0.36111111111111094,0.375,0.4310344827586206,0.5000000000000001,-0.024839331308553165,-0.08575855027659374,0.04959088402676451,versicolor
66,5.6,3.0,4.5,1.5,0.36111111111111094,0.41666666666666674,0.586206896551724,0.5833333333333334,0.11967954442864824,-0.059048422372611604,0.10249519526607245,versicolor
52,6.9,3.1,4.9,1.5,0.7222222222222223,0.45833333333333326,0.6551724137931034,0.5833333333333334,0.3026721626277276,0.13259918156597486,-0.1475367599677149,versicolor
58,6.6,2.9,4.6,1.3,0.6388888888888888,0.375,0.6034482758620687,0.5000000000000001,0.19513970372005485,0.02468801484618982,-0.16263960486241338,versicolor
17,5.1,3.5,1.4,0.3,0.2222222222222221,0.625,0.05172413793103445,0.08333333333333333,-0.6270664867607341,0.10212404654397039,0.01438693686179279,setosa
39,5.1,3.4,1.5,0.2,0.2222222222222221,0.5833333333333333,0.06896551724137928,0.04166666666666667,-0.6371024897676227,0.0635379578488199,-0.02626946930441829,setosa
130,7.4,2.8,6.1,1.9,0.8611111111111112,0.33333333333333326,0.8620689655172411,0.75,0.615531281518236,0.06796681934631577,-0.20603880195724353,virginica
113,5.7,2.5,5.0,2.0,0.38888888888888884,0.20833333333333326,0.6724137931034482,0.7916666666666667,0.3522556697419026,-0.2387473167765497,0.12878061521106102,virginica
110,6.5,3.2,5.1,2.0,0.6111111111111112,0.5,0.6896551724137929,0.7916666666666667,0.4084467931867648,0.119019974468628,0.06892700476756258,virginica
21,5.1,3.7,1.5,0.4,0.2222222222222221,0.7083333333333333,0.06896551724137928,0.125,-0.601943527972737,0.17560481337765885,0.06693650910981205,setosa
