# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# STN,YYYYMMDD,   TG
  260,20230101,  124
  260,20230102,   88
  260,20230103,   63
  260,20230104,  116
  260,20230105,  108
  260,20230106,  106
  260,20230107,  104
  260,20230108,   84
  260,20230109,   70
  260,20230110,   70
  260,20230111,  100
  260,20230112,  103
  260,20230113,   87
  260,20230114,   84
  260,20230115,   62
  260,20230116,   41
  260,20230117,   14
  260,20230118,   17
  260,20230119,   30
  260,20230120,    4
  260,20230121,  -14
  260,20230122,    4
  260,20230123,   26
  260,20230124,   17
  260,20230125,   -7
  260,20230126,   41
  260,20230127,   40
  260,20230128,   32
  260,20230129,   43
  260,20230130,   67
  260,20230131,   64
  260,20230201,   78
  260,20230202,   83
  260,20230203,   92
  260,20230204,   73
  260,20230205,   65
  260,20230206,   31
  260,20230207,   -3
  260,20230208,    1
  260,20230209,   18
  260,20230210,   36
  260,20230211,   77
  260,20230212,   71
  260,20230213,   67
  260,20230214,   40
  260,20230215,   53
  260,20230216,   83
  260,20230217,  104
  260,20230218,  103
  260,20230219,   78
  260,20230220,   81
  260,20230221,   79
  260,20230222,   70
  260,20230223,   64
  260,20230224,   44
  260,20230225,   35
  260,20230226,   25
  260,20230227,   17
  260,20230228,   23
  260,20230301,   16
  260,20230302,   35
  260,20230303,   43
  260,20230304,   58
  260,20230305,   40
  260,20230306,   40
  260,20230307,   21
  260,20230308,    4
  260,20230309,   16
  260,20230310,   17
  260,20230311,   17
  260,20230312,   70
  260,20230313,  127
  260,20230314,   66
  260,20230315,   49
  260,20230316,   86
  260,20230317,  116
  260,20230318,  122
  260,20230319,   94
  260,20230320,   83
  260,20230321,  106
  260,20230322,  108
  260,20230323,  127
  260,20230324,  113
  260,20230325,   94
  260,20230326,   72
  260,20230327,   44
  260,20230328,   45
  260,20230329,  106
  260,20230330,  129
  260,20230331,  107
  260,20230401,   93
  260,20230402,   58
  260,20230403,   46
  260,20230404,   47
  260,20230405,   48
  260,20230406,   67
  260,20230407,   86
  260,20230408,   91
  260,20230409,  109
  260,20230410,  105
  260,20230411,  104
  260,20230412,   90
  260,20230413,   84
